"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.70668","7.58933","8.29801","7.92683","8.96231","8.52234","9.30732","8.77852","8.42838","7.44107","6.95897","7.4059","","","8.13016","7.34515","","","","","","","",
"","AFE","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","26.90883","","","30.54405","29.42589","","15.09145","4.1792","9.62217","","5.12998","5.12407","","","","","","","","8.99976","","","","","","","","","","","","","","","","","","","","","","","3.62815","3.68318","4.07978","","","",
"","AFW","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","29.15829","35.99048","","","","","","","","","","","","","","","","","","","","","","","","","","9.53784","11.08938","10.84637","10.29738","","","","","","","","","","",
"Albania","ALB","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.82128","","","","3.93223","4.05239","","2.81416","2.23588","","","1.3492","1.19576","1.37017","0.9685","0.87221","0.79664","0.74461","0.73319","0.84089","0.76519","0.92544","0.84806","","","",
"Andorra","AND","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2.93653","2.82725","2.45865","2.4273","2.01736","2.32446","2.04031","1.42681","1.27281","1.20056","0.98522","0.73988","","","",
"El mundo árabe","ARB","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","11.48593","11.58594","11.75321","10.89328","10.88362","11.4062","11.5908","11.41031","11.42341","11.7688","11.41354","11.89173","11.0535","11.03525","10.97993","9.82625","9.40949","9.62283","9.29576","8.96768","9.0439","9.10145","9.07562","9.04067","8.80243","8.71415","8.6233","8.84227","8.7742","8.65968","8.90255","8.27455","7.8085","7.44271","6.99847","6.62936","6.87265","7.05407","6.82621","7.02708","6.70211","6.45905","6.14816","6.37168","6.30684","5.94278","6.17746","5.93083","5.75338","","","",
"Emiratos Árabes Unidos","ARE","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","20.04549","18.54881","13.54608","11.74146","9.19055","9.24587","7.97564","7.48051","6.64537","5.91523","5.61684","6.38272","5.67823","6.19474","5.68703","5.15189","4.68376","4.35584","4.06563","3.90701","4.73402","4.85782","4.64895","4.17057","4.31939","3.48854","3.41066","3.0862","2.81476","2.63075","2.24154","1.86373","1.96085","1.8797","","2.03681","1.99946","0","0","0","0.21697","0.171","","","","","","",
"Argentina","ARG","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","11.38488","10.37942","","","9.81724","8.65269","8.11346","","","","","","","","","","","","","","","","","","5.57719","","5.56527","5.27327","5.4667","5.94423","6.14958","6.35474","6.05751","6.34149","6.44612","6.38968","6.53683","6.10586","5.73703","5.13591","4.6522","4.17129","3.70622","2.85032","2.11698","1.97776","2.24059","3.30591","","","","",
